index,Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2207,2017-11-01 12-AM,BCHUSD,435.11,438.32,434.1,436.95,103.52,45081.85
2206,2017-11-01 01-AM,BCHUSD,436.95,441.4,436.5,441.39,177.16,77635.69
2205,2017-11-01 02-AM,BCHUSD,441.39,441.69,439.01,441.69,39.79,17544.72
2204,2017-11-01 03-AM,BCHUSD,441.69,453.02,441.69,446.29,781.54,350553.68
2203,2017-11-01 04-AM,BCHUSD,446.29,453,442.73,452,576.2,257762.21
2202,2017-11-01 05-AM,BCHUSD,452,454.5,447.17,447.17,521.68,235723.88
2201,2017-11-01 06-AM,BCHUSD,447.17,463.66,446.28,463.66,755.94,344802.91
2200,2017-11-01 07-AM,BCHUSD,463.66,488,462.55,475,3631.61,1736135.73
2199,2017-11-01 08-AM,BCHUSD,475,505,475,498,2659.28,1309264.88
2198,2017-11-01 09-AM,BCHUSD,498,504.88,483.92,487,2201.18,1087688.08
2197,2017-11-01 10-AM,BCHUSD,487,493.19,478,480,1048.77,509378.78
2196,2017-11-01 11-AM,BCHUSD,480,489.53,478,488.7,867.99,419213.34
2195,2017-11-01 12-PM,BCHUSD,488.7,511.5,485,490,2593.08,1290278.02
2194,2017-11-01 01-PM,BCHUSD,490,497.9,481.47,482.17,959.23,468523.54
2193,2017-11-01 02-PM,BCHUSD,482.17,487.8,475,482.8,711.47,343374.66
2192,2017-11-01 03-PM,BCHUSD,482.8,491.01,481,485.88,659.35,319833.92
2191,2017-11-01 04-PM,BCHUSD,485.88,491.12,483.06,488,563.2,274907.89
2190,2017-11-01 05-PM,BCHUSD,488,490,484.22,486.2,429.81,209913.89
2189,2017-11-01 06-PM,BCHUSD,486.2,487.42,483.14,487.4,478.74,232660.46
2188,2017-11-01 07-PM,BCHUSD,487.4,491.12,486,491.12,257.71,125996.38
2187,2017-11-01 08-PM,BCHUSD,491.12,493,487.45,491.1,281.48,138113.09
2186,2017-11-01 09-PM,BCHUSD,491.1,509,491.1,500.29,1541.27,771504.53
2185,2017-11-01 10-PM,BCHUSD,500.29,519,500.29,510,2052.99,1049655.49
2184,2017-11-01 11-PM,BCHUSD,510,546.77,504.16,534.25,3672.52,1942920.55
2183,2017-11-02 12-AM,BCHUSD,534.25,535,510.21,511,3782.02,1972214.03
2182,2017-11-02 01-AM,BCHUSD,511,519,495,506,1742.42,880394.29
2181,2017-11-02 02-AM,BCHUSD,506,511.77,496.94,510.5,795.87,400744.03
2180,2017-11-02 03-AM,BCHUSD,510.5,520,503.65,520,664.96,341217.5
2179,2017-11-02 04-AM,BCHUSD,520,537.97,516.91,531,1418.04,747697.17
2178,2017-11-02 05-AM,BCHUSD,531,536.09,520,531.9,1338.84,709506.95
2177,2017-11-02 06-AM,BCHUSD,531.9,532,516.94,521.4,1060.54,555016.08
2176,2017-11-02 07-AM,BCHUSD,521.4,530.52,518,525.35,612.86,321184.62
2175,2017-11-02 08-AM,BCHUSD,525.35,550,523.5,543.9,1662.03,900133.21
2174,2017-11-02 09-AM,BCHUSD,543.9,562,535,560.5,1637.28,902055.31
2173,2017-11-02 10-AM,BCHUSD,560.5,575,551.05,575,2606.35,1466969.25
2172,2017-11-02 11-AM,BCHUSD,575,575,500,533,5269.34,2825299.74
2171,2017-11-02 12-PM,BCHUSD,533,539.22,510,537,2661.26,1402345.21
2170,2017-11-02 01-PM,BCHUSD,537,545.92,530,540.69,3552.13,1910303.65
2169,2017-11-02 02-PM,BCHUSD,540.69,540.69,520.8,527.5,1311.33,698096.02
2168,2017-11-02 03-PM,BCHUSD,527.5,538.16,527.5,538,1516.64,803213.96
2167,2017-11-02 04-PM,BCHUSD,538,538.71,532,534.18,486.39,260336.72
2166,2017-11-02 05-PM,BCHUSD,534.18,555.6,531.33,552.1,835.25,458382.39
2165,2017-11-02 06-PM,BCHUSD,552.1,552.8,536.69,540,821.3,448873.35
2164,2017-11-02 07-PM,BCHUSD,540,553.82,537,551.93,494.57,269827.18
2163,2017-11-02 08-PM,BCHUSD,551.93,576.29,549.1,568.66,5137.97,2925570.22
2162,2017-11-02 09-PM,BCHUSD,568.66,584,563.26,583,1079.47,618351.21
2161,2017-11-02 10-PM,BCHUSD,583,594,576,587,2860.8,1676532.59
2160,2017-11-02 11-PM,BCHUSD,587,590,565.01,572,1588.82,917936.94
2159,2017-11-03 12-AM,BCHUSD,572,581.03,557,572.36,1491.61,851972.45
2158,2017-11-03 01-AM,BCHUSD,572.36,586,565,583.89,672.05,386889.41
2157,2017-11-03 02-AM,BCHUSD,583.89,590,582.2,588.05,622.19,364676.37
2156,2017-11-03 03-AM,BCHUSD,588.05,605,585.5,602,2378.49,1425192.24
2155,2017-11-03 04-AM,BCHUSD,602,629,601.1,627,2238.95,1378648.71
2154,2017-11-03 05-AM,BCHUSD,627,645.86,618,639,2629.39,1665570.34
2153,2017-11-03 06-AM,BCHUSD,639,648.86,625.42,638.1,1274.89,814324.85
2152,2017-11-03 07-AM,BCHUSD,638.1,671.01,634.31,671,2030.72,1325387.52
2151,2017-11-03 08-AM,BCHUSD,671,676.14,651.41,664,2417.34,1602054.89
2150,2017-11-03 09-AM,BCHUSD,664,671.33,637.15,654,1974.62,1294708.09
2149,2017-11-03 10-AM,BCHUSD,654,668.3,651,656.1,1254.6,828207.96
2148,2017-11-03 11-AM,BCHUSD,656.1,658.9,639.11,651,1795.14,1161439.2
2147,2017-11-03 12-PM,BCHUSD,651,668,640,667,1301.54,849522.25
2146,2017-11-03 01-PM,BCHUSD,667,667,640.1,656,1267.79,830041.09
2145,2017-11-03 02-PM,BCHUSD,656,658.74,648.79,656,562.99,368244.87
2144,2017-11-03 03-PM,BCHUSD,656,686,652.82,686,1846.58,1236963.6
2143,2017-11-03 04-PM,BCHUSD,686,686,668.99,681.66,1366.89,924709.85
2142,2017-11-03 05-PM,BCHUSD,681.66,682,670,673,767.36,517050.36
2141,2017-11-03 06-PM,BCHUSD,673,677.78,671,676,436.86,294952.41
2140,2017-11-03 07-PM,BCHUSD,676,676,654,658,1102.33,730120.69
2139,2017-11-03 08-PM,BCHUSD,658,664.98,645,647,1125.31,734317.5
