index,Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2208,2017-11-01 12-AM,BTCUSD,6450.02,6458.17,6370,6376.18,186.3,1192862.94
2207,2017-11-01 01-AM,BTCUSD,6376.18,6429.8,6376.18,6411.62,78.96,506200.55
2206,2017-11-01 02-AM,BTCUSD,6411.62,6425,6392.25,6419.9,81.47,522033.42
2205,2017-11-01 03-AM,BTCUSD,6419.9,6450,6404.43,6405.52,92.67,595946.5
2204,2017-11-01 04-AM,BTCUSD,6405.52,6420.81,6351,6362,146.55,934952.32
2203,2017-11-01 05-AM,BTCUSD,6362,6409.04,6351.5,6397.77,191.09,1220148.2
2202,2017-11-01 06-AM,BTCUSD,6397.77,6399,6369,6388.78,69.04,440999.04
2201,2017-11-01 07-AM,BTCUSD,6388.78,6399.72,6369,6386,133.26,851375.24
2200,2017-11-01 08-AM,BTCUSD,6386,6448.1,6386,6443.29,181.76,1168306.84
2199,2017-11-01 09-AM,BTCUSD,6443.29,6546.43,6429,6537,379.29,2465469.32
2198,2017-11-01 10-AM,BTCUSD,6537,6599,6494.47,6577,303.69,1989715.51
2197,2017-11-01 11-AM,BTCUSD,6577,6599,6531.57,6560,328.39,2156836.13
2196,2017-11-01 12-PM,BTCUSD,6560,6579.03,6450.72,6500,433.99,2819956.37
2195,2017-11-01 01-PM,BTCUSD,6500,6520,6455,6468.85,158.33,1026703.73
2194,2017-11-01 02-PM,BTCUSD,6468.85,6545,6468.85,6543,122.72,800066.23
2193,2017-11-01 03-PM,BTCUSD,6543,6555.99,6510.15,6553.98,150.76,985991.38
2192,2017-11-01 04-PM,BTCUSD,6553.98,6621,6540.8,6574.41,279.63,1841860.49
2191,2017-11-01 05-PM,BTCUSD,6574.41,6615,6570,6587.31,143.96,948729.35
2190,2017-11-01 06-PM,BTCUSD,6587.31,6595,6560,6575,92.17,606121.88
2189,2017-11-01 07-PM,BTCUSD,6575,6610,6554.5,6608.1,165.49,1088200.43
2188,2017-11-01 08-PM,BTCUSD,6608.1,6608.1,6530,6566.83,150.31,984046.73
2187,2017-11-01 09-PM,BTCUSD,6566.83,6590,6559.92,6565,70.26,461935.68
2186,2017-11-01 10-PM,BTCUSD,6565,6680,6562.79,6665.64,390.09,2591268.16
2185,2017-11-01 11-PM,BTCUSD,6665.64,6739.79,6639.73,6739.79,391.73,2621543
2184,2017-11-02 12-AM,BTCUSD,6739.79,6835,6710.43,6792.59,522.79,3535582
2183,2017-11-02 01-AM,BTCUSD,6792.59,6909.35,6772,6779.61,764.36,5239638.66
2182,2017-11-02 02-AM,BTCUSD,6779.61,6797.92,6702.09,6797.8,479.13,3239220.37
2181,2017-11-02 03-AM,BTCUSD,6797.8,6889,6760,6868.87,338.79,2318760.5
2180,2017-11-02 04-AM,BTCUSD,6868.87,6888.9,6810.71,6888,270.15,1851225.54
2179,2017-11-02 05-AM,BTCUSD,6888,6888,6821.77,6838.34,162.18,1111103.06
2178,2017-11-02 06-AM,BTCUSD,6838.34,6930,6838.34,6930,426.64,2937363.79
2177,2017-11-02 07-AM,BTCUSD,6930,6948.44,6847.43,6913,342.63,2364069.02
2176,2017-11-02 08-AM,BTCUSD,6913,6949.88,6890,6948.9,204.2,1413731.51
2175,2017-11-02 09-AM,BTCUSD,6948.9,6960.19,6925,6957,308.6,2143983.38
2174,2017-11-02 10-AM,BTCUSD,6957,7150,6956.16,7142.9,662.43,4665058
2173,2017-11-02 11-AM,BTCUSD,7142.9,7281.43,6607.3,6897,2157.73,14977327.45
2172,2017-11-02 12-PM,BTCUSD,6897,6995.68,6684.67,6940,830.98,5700366.71
2171,2017-11-02 01-PM,BTCUSD,6940,7055,6897.97,7000,767.46,5376088.43
2170,2017-11-02 02-PM,BTCUSD,7000,7045,6884.63,6911,358.63,2503393.84
2169,2017-11-02 03-PM,BTCUSD,6911,7029.99,6902.5,7027.51,243.67,1702026.83
2168,2017-11-02 04-PM,BTCUSD,7027.51,7027.51,6893.76,6920.18,281.25,1959888.6
2167,2017-11-02 05-PM,BTCUSD,6920.18,6987.69,6850,6950,236.37,1632206.11
2166,2017-11-02 06-PM,BTCUSD,6950,6962.05,6820,6851,232.95,1602200.26
2165,2017-11-02 07-PM,BTCUSD,6851,6980,6830.67,6960,217.8,1503988.53
2164,2017-11-02 08-PM,BTCUSD,6960,7121,6935,7054.29,511.89,3613349.39
2163,2017-11-02 09-PM,BTCUSD,7054.29,7080.17,7028.67,7080.17,98.35,694128.17
2162,2017-11-02 10-PM,BTCUSD,7080.17,7087.8,6985,7000,137.49,968313.42
2161,2017-11-02 11-PM,BTCUSD,7000,7067,6984.55,7025,191.89,1348775.34
2160,2017-11-03 12-AM,BTCUSD,7025,7043.36,6942.98,6979.06,297.89,2081501.49
2159,2017-11-03 01-AM,BTCUSD,6979.06,7000,6921.24,6984.17,207.06,1440727.25
2158,2017-11-03 02-AM,BTCUSD,6984.17,7045.95,6982.32,7028.71,142.83,1002895.62
2157,2017-11-03 03-AM,BTCUSD,7028.71,7225,7028.71,7189.84,403.21,2885509.4
2156,2017-11-03 04-AM,BTCUSD,7189.84,7259,7153,7208,235.66,1697807.97
2155,2017-11-03 05-AM,BTCUSD,7208,7214.99,7121.33,7213.94,191.09,1367350.99
2154,2017-11-03 06-AM,BTCUSD,7213.94,7247.42,7173.2,7187,135.69,977607.78
2153,2017-11-03 07-AM,BTCUSD,7187,7291,7160,7277,218.89,1583275.31
2152,2017-11-03 08-AM,BTCUSD,7277,7347.44,7231.1,7315,305.23,2224788.45
