index,Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2208,2017-11-01 12-AM,ETHUSD,304.5,304.5,303,303,479.07,145485.31
2207,2017-11-01 01-AM,ETHUSD,303,304.07,302.77,303.5,296.51,89884.84
2206,2017-11-01 02-AM,ETHUSD,303.5,304.07,302.61,303.18,446.2,135261
2205,2017-11-01 03-AM,ETHUSD,303.18,303.79,302.5,302.5,182.23,55193.28
2204,2017-11-01 04-AM,ETHUSD,302.5,303.17,300.99,303.09,800.44,241819.12
2203,2017-11-01 05-AM,ETHUSD,303.09,303.4,301.87,302.6,625.81,189446.96
2202,2017-11-01 06-AM,ETHUSD,302.6,305.35,302.6,303,900,273867.48
2201,2017-11-01 07-AM,ETHUSD,303,303.9,301,301.6,1112.76,336336.73
2200,2017-11-01 08-AM,ETHUSD,301.6,303.67,301.4,303.2,645.56,195286.75
2199,2017-11-01 09-AM,ETHUSD,303.2,303.88,300.99,301,787.37,237887.45
2198,2017-11-01 10-AM,ETHUSD,301,301.73,296.5,296.71,1995.73,596666.51
2197,2017-11-01 11-AM,ETHUSD,296.71,298.79,294.41,295.28,2229.43,661152.98
2196,2017-11-01 12-PM,ETHUSD,295.28,299.81,294,299,1864.74,553619.5
2195,2017-11-01 01-PM,ETHUSD,299,299.28,296.66,297.01,637.77,189968.95
2194,2017-11-01 02-PM,ETHUSD,297.01,302,297.01,299.23,962.8,288909.06
2193,2017-11-01 03-PM,ETHUSD,299.23,301,297.25,297.8,714.49,213639.85
2192,2017-11-01 04-PM,ETHUSD,297.8,298.24,295.4,297,590.57,175211.71
2191,2017-11-01 05-PM,ETHUSD,297,297.89,295,295,1022.76,302589.81
2190,2017-11-01 06-PM,ETHUSD,295,296.86,295,296,321.4,95098.14
2189,2017-11-01 07-PM,ETHUSD,296,297.61,295.55,296.64,449.62,133333.69
2188,2017-11-01 08-PM,ETHUSD,296.64,297.97,295,297.5,479.03,141820.38
2187,2017-11-01 09-PM,ETHUSD,297.5,297.5,294.5,294.5,539.57,159348.21
2186,2017-11-01 10-PM,ETHUSD,294.5,295.09,290,292.45,3278.09,956968.73
2185,2017-11-01 11-PM,ETHUSD,292.45,293.13,288.04,288.78,3343.32,968266.54
2184,2017-11-02 12-AM,ETHUSD,288.78,291.65,286.52,286.52,2783.95,803563.28
2183,2017-11-02 01-AM,ETHUSD,286.52,287.98,273.68,286,8550.18,2399680.45
2182,2017-11-02 02-AM,ETHUSD,286,290,283.85,285,2507.73,720210.46
2181,2017-11-02 03-AM,ETHUSD,285,286.45,279.8,285.39,2440.18,690962
2180,2017-11-02 04-AM,ETHUSD,285.39,286.45,283.8,284.68,1389.1,396831.18
2179,2017-11-02 05-AM,ETHUSD,284.68,285.33,282.24,282.78,1072.75,304442.68
2178,2017-11-02 06-AM,ETHUSD,282.78,284.53,276,280.56,1946.29,547800.47
2177,2017-11-02 07-AM,ETHUSD,280.56,282.64,279,281.7,1384.83,389176.47
2176,2017-11-02 08-AM,ETHUSD,281.7,282.8,278,279,914,256795.41
2175,2017-11-02 09-AM,ETHUSD,279,281.13,277.3,280,1342.99,375257.76
2174,2017-11-02 10-AM,ETHUSD,280,280.9,276,278.5,3121.16,869348.35
2173,2017-11-02 11-AM,ETHUSD,278.5,289,272,285.9,8736.83,2451636.68
2172,2017-11-02 12-PM,ETHUSD,285.9,288,279.03,282.2,2284.29,648885.82
2171,2017-11-02 01-PM,ETHUSD,282.2,284.28,278,280.6,1657.07,464715.93
2170,2017-11-02 02-PM,ETHUSD,280.6,289,280.6,287.86,2104.69,600396.45
2169,2017-11-02 03-PM,ETHUSD,287.86,289,284,285,1601.7,457078.08
2168,2017-11-02 04-PM,ETHUSD,285,285.89,282,282.66,1833.94,519832.84
2167,2017-11-02 05-PM,ETHUSD,282.66,286.57,282.66,283.24,665.37,189745.67
2166,2017-11-02 06-PM,ETHUSD,283.24,286.3,283,285.25,394.6,112419.13
2165,2017-11-02 07-PM,ETHUSD,285.25,288,283,288,505.04,143835.45
2164,2017-11-02 08-PM,ETHUSD,288,289.66,286,287.98,1350.79,388470.43
2163,2017-11-02 09-PM,ETHUSD,287.98,288.49,282.53,284,961.58,275030.41
2162,2017-11-02 10-PM,ETHUSD,284,284.86,282.7,283.9,561.86,159640.23
2161,2017-11-02 11-PM,ETHUSD,283.9,285.37,281,285,1346.97,381493.36
2160,2017-11-03 12-AM,ETHUSD,285,289,282.18,286.26,2472.88,706894.14
2159,2017-11-03 01-AM,ETHUSD,286.26,289.3,285.42,288.5,694.66,200113.49
2158,2017-11-03 02-AM,ETHUSD,288.5,288.97,287,288.5,1306.49,376644.16
2157,2017-11-03 03-AM,ETHUSD,288.5,289.18,286,286,1269.34,363581.26
2156,2017-11-03 04-AM,ETHUSD,286,290,286,288.47,1119.14,322086.15
