index,Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2208,2017-11-01 12-AM,LTCUSD,55.73,55.73,55.27,55.38,658.09,36446.97
2207,2017-11-01 01-AM,LTCUSD,55.38,55.5,55.16,55.47,759.5,41946.57
2206,2017-11-01 02-AM,LTCUSD,55.47,55.47,55.11,55.38,665.94,36769.31
2205,2017-11-01 03-AM,LTCUSD,55.38,55.49,55.14,55.38,105.71,5843.93
2204,2017-11-01 04-AM,LTCUSD,55.38,55.49,55.12,55.36,300,16550.63
2203,2017-11-01 05-AM,LTCUSD,55.36,55.49,55.12,55.47,1392.42,76989.27
2202,2017-11-01 06-AM,LTCUSD,55.47,55.47,55.2,55.47,187.79,10403.4
2201,2017-11-01 07-AM,LTCUSD,55.47,55.47,55.14,55.47,1447.11,80192.6
2200,2017-11-01 08-AM,LTCUSD,55.47,55.55,55.25,55.44,558.22,30941.73
2199,2017-11-01 09-AM,LTCUSD,55.44,55.45,55.12,55.12,1218.97,67362.38
2198,2017-11-01 10-AM,LTCUSD,55.12,55.42,54.64,54.64,2729.81,150293.22
2197,2017-11-01 11-AM,LTCUSD,54.64,55.12,54.38,54.45,1854.5,101398.05
2196,2017-11-01 12-PM,LTCUSD,54.45,54.98,54.38,54.98,1369.3,74635.35
2195,2017-11-01 01-PM,LTCUSD,54.98,54.98,54.37,54.7,950,51903.85
2194,2017-11-01 02-PM,LTCUSD,54.7,54.8,54.51,54.7,556.7,30439.89
2193,2017-11-01 03-PM,LTCUSD,54.7,54.8,54.5,54.59,2440.14,133529.31
2192,2017-11-01 04-PM,LTCUSD,54.59,54.6,54.21,54.22,1166.17,63424.17
2191,2017-11-01 05-PM,LTCUSD,54.22,54.4,54.2,54.3,486.47,26387.91
2190,2017-11-01 06-PM,LTCUSD,54.3,54.5,54.11,54.5,1143.03,62220.35
2189,2017-11-01 07-PM,LTCUSD,54.5,54.5,54.12,54.32,479.5,26086.89
2188,2017-11-01 08-PM,LTCUSD,54.32,54.57,54.13,54.48,204.64,11129.78
2187,2017-11-01 09-PM,LTCUSD,54.48,54.57,54,54,787.63,42650.93
2186,2017-11-01 10-PM,LTCUSD,54,54.25,53.4,53.5,3126.79,168412.05
2185,2017-11-01 11-PM,LTCUSD,53.5,53.78,52.55,52.93,2197.36,116637.39
2184,2017-11-02 12-AM,LTCUSD,52.93,53.27,52.25,52.25,3354.22,177168.54
2183,2017-11-02 01-AM,LTCUSD,52.25,52.8,49.1,51,23794.92,1195687.43
2182,2017-11-02 02-AM,LTCUSD,51,51.95,50.52,51,5242.28,269284.15
