index,Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2208,2017-11-01 12-AM,XRPUSD,0.1995,0.2,0.198,0.1995,103325.1,20558.14
2207,2017-11-01 01-AM,XRPUSD,0.1995,0.2024,0.198,0.198,457556.48,91154.87
2206,2017-11-01 02-AM,XRPUSD,0.198,0.1999,0.198,0.1988,136576.46,27213.89
2205,2017-11-01 03-AM,XRPUSD,0.1988,0.2008,0.1984,0.2008,126372.98,25218.99
2204,2017-11-01 04-AM,XRPUSD,0.2008,0.2018,0.1987,0.2009,33103.69,6621.78
2203,2017-11-01 05-AM,XRPUSD,0.2009,0.2009,0.1951,0.1989,437645.42,86627.64
2202,2017-11-01 06-AM,XRPUSD,0.1989,0.1989,0.195,0.1973,245257.1,48477.46
2201,2017-11-01 07-AM,XRPUSD,0.1973,0.1976,0.196,0.196,79866.79,15692.02
2200,2017-11-01 08-AM,XRPUSD,0.196,0.1986,0.195,0.1971,193672.02,38120.17
2199,2017-11-01 09-AM,XRPUSD,0.1971,0.199,0.1956,0.197,513238.4,101513.23
2198,2017-11-01 10-AM,XRPUSD,0.197,0.2005,0.197,0.2,539665.81,106923.89
2197,2017-11-01 11-AM,XRPUSD,0.2,0.2028,0.1984,0.1991,934367.25,187499.64
2196,2017-11-01 12-PM,XRPUSD,0.1991,0.1992,0.197,0.1975,400505.53,79345.86
2195,2017-11-01 01-PM,XRPUSD,0.1975,0.1985,0.196,0.1965,298213.69,58849.98
2194,2017-11-01 02-PM,XRPUSD,0.1965,0.1972,0.195,0.1965,270476.67,52983.56
2193,2017-11-01 03-PM,XRPUSD,0.1965,0.1981,0.1951,0.1951,367992.64,72133.78
2192,2017-11-01 04-PM,XRPUSD,0.1951,0.1957,0.1933,0.195,388549.12,75694.44
2191,2017-11-01 05-PM,XRPUSD,0.195,0.1953,0.1922,0.1932,321584.2,62331.2
2190,2017-11-01 06-PM,XRPUSD,0.1932,0.1932,0.1903,0.192,249956.44,47921.24
2189,2017-11-01 07-PM,XRPUSD,0.192,0.198,0.1903,0.1907,955252.55,184748.66
2188,2017-11-01 08-PM,XRPUSD,0.1907,0.198,0.1907,0.1911,267673.74,51472.96
2187,2017-11-01 09-PM,XRPUSD,0.1911,0.1956,0.19,0.19,645876.64,122848.42
2186,2017-11-01 10-PM,XRPUSD,0.19,0.1925,0.19,0.1902,706256.29,134839.82
2185,2017-11-01 11-PM,XRPUSD,0.1902,0.196,0.188,0.1904,688021.97,130806.34
2184,2017-11-02 12-AM,XRPUSD,0.1904,0.1918,0.1882,0.19,300310.6,57076.84
2183,2017-11-02 01-AM,XRPUSD,0.19,0.19,0.1882,0.1882,124301.09,23581.39
2182,2017-11-02 02-AM,XRPUSD,0.1882,0.1897,0.1851,0.1856,453800.77,84844.8
2181,2017-11-02 03-AM,XRPUSD,0.1856,0.1899,0.185,0.185,214766.23,39803.14
2180,2017-11-02 04-AM,XRPUSD,0.185,0.19,0.185,0.185,576663.86,107193.55
2179,2017-11-02 05-AM,XRPUSD,0.185,0.1878,0.1827,0.1829,359112.12,66188.06
2178,2017-11-02 06-AM,XRPUSD,0.1829,0.1847,0.18,0.1801,656065.72,118943.16
2177,2017-11-02 07-AM,XRPUSD,0.1801,0.19,0.18,0.19,582340.53,107317.93
2176,2017-11-02 08-AM,XRPUSD,0.19,0.195,0.1887,0.1888,142154.75,27248.7
2175,2017-11-02 09-AM,XRPUSD,0.1888,0.1953,0.1844,0.1879,182944.57,34419
2174,2017-11-02 10-AM,XRPUSD,0.1879,0.195,0.1879,0.1947,529535.86,101705.46
2173,2017-11-02 11-AM,XRPUSD,0.1947,0.1954,0.1895,0.1905,309665.65,59928.58
2172,2017-11-02 12-PM,XRPUSD,0.1905,0.1932,0.1895,0.1931,279723.22,53296.02
2171,2017-11-02 01-PM,XRPUSD,0.1931,0.1931,0.1895,0.1919,71100.24,13584.89
2170,2017-11-02 02-PM,XRPUSD,0.1919,0.1925,0.1898,0.192,80983.72,15518.47
2169,2017-11-02 03-PM,XRPUSD,0.192,0.194,0.192,0.194,214828.12,41626.45
2168,2017-11-02 04-PM,XRPUSD,0.194,0.194,0.1905,0.192,143166.66,27550.14
2167,2017-11-02 05-PM,XRPUSD,0.192,0.192,0.1895,0.1903,203769.21,38780.78
2166,2017-11-02 06-PM,XRPUSD,0.1903,0.1935,0.1895,0.1934,136769,26127.32
2165,2017-11-02 07-PM,XRPUSD,0.1934,0.2049,0.1925,0.197,1209979.19,238092.82
2164,2017-11-02 08-PM,XRPUSD,0.197,0.2158,0.197,0.214,1625402.82,343044.04
2163,2017-11-02 09-PM,XRPUSD,0.214,0.2199,0.2025,0.2051,1249124.86,264544.14
2162,2017-11-02 10-PM,XRPUSD,0.2051,0.2073,0.201,0.2038,603467.39,122896.63
2161,2017-11-02 11-PM,XRPUSD,0.2038,0.2038,0.198,0.1987,778804.95,155538.4
2160,2017-11-03 12-AM,XRPUSD,0.1987,0.2037,0.1976,0.1979,397750.31,79075.69
2159,2017-11-03 01-AM,XRPUSD,0.1979,0.2063,0.1977,0.202,290527.6,58183.68
2158,2017-11-03 02-AM,XRPUSD,0.202,0.203,0.1984,0.2,223788.64,45109.95
2157,2017-11-03 03-AM,XRPUSD,0.2,0.2099,0.1991,0.2021,185465.57,37806.24
2156,2017-11-03 04-AM,XRPUSD,0.2021,0.2088,0.2021,0.2088,143049.74,29317.82
2155,2017-11-03 05-AM,XRPUSD,0.2088,0.2088,0.2032,0.2032,239005.83,48799.13
2154,2017-11-03 06-AM,XRPUSD,0.2032,0.2052,0.202,0.2032,95185.08,19390.65
2153,2017-11-03 07-AM,XRPUSD,0.2032,0.2052,0.202,0.2046,233014.24,47443.68
2152,2017-11-03 08-AM,XRPUSD,0.2046,0.2049,0.2005,0.2024,92791.08,18841.63
2151,2017-11-03 09-AM,XRPUSD,0.2024,0.2044,0.2007,0.2044,253887.59,51323.31
2150,2017-11-03 10-AM,XRPUSD,0.2044,0.213,0.2024,0.2116,515711.21,107944.78
2149,2017-11-03 11-AM,XRPUSD,0.2116,0.2133,0.206,0.2062,731240.38,153138
2148,2017-11-03 12-PM,XRPUSD,0.2062,0.211,0.2061,0.208,116295,24294.13
2147,2017-11-03 01-PM,XRPUSD,0.208,0.2128,0.2061,0.211,188618.7,39369.25
2146,2017-11-03 02-PM,XRPUSD,0.211,0.2121,0.2093,0.2109,220999.77,46648.98
2145,2017-11-03 03-PM,XRPUSD,0.2109,0.214,0.2108,0.2118,396572.1,84265.57
2144,2017-11-03 04-PM,XRPUSD,0.2118,0.2135,0.2117,0.2126,420216.95,89232.3
2143,2017-11-03 05-PM,XRPUSD,0.2126,0.215,0.2102,0.215,528886.65,112330.61
2142,2017-11-03 06-PM,XRPUSD,0.215,0.215,0.21,0.2102,574392.77,122110.09
2141,2017-11-03 07-PM,XRPUSD,0.2102,0.2102,0.207,0.207,176159.57,36815.95
2140,2017-11-03 08-PM,XRPUSD,0.207,0.2077,0.205,0.205,471071.08,97177.99
2139,2017-11-03 09-PM,XRPUSD,0.205,0.2054,0.2024,0.2029,122971.05,25009.89
2138,2017-11-03 10-PM,XRPUSD,0.2029,0.21,0.2013,0.2031,314618.62,63561.29
2137,2017-11-03 11-PM,XRPUSD,0.2031,0.2099,0.2015,0.202,388797.58,79273.43
2136,2017-11-04 12-AM,XRPUSD,0.202,0.2032,0.202,0.2028,159456.09,32323.13
2135,2017-11-04 01-AM,XRPUSD,0.2028,0.2048,0.2026,0.2048,123406.71,25128.08
2134,2017-11-04 02-AM,XRPUSD,0.2048,0.2048,0.2029,0.2038,72638.32,14785.14
2133,2017-11-04 03-AM,XRPUSD,0.2038,0.2049,0.2032,0.2032,33065.29,6739.57
2132,2017-11-04 04-AM,XRPUSD,0.2032,0.2038,0.2016,0.2038,246598.67,49978.4
2131,2017-11-04 05-AM,XRPUSD,0.2038,0.2046,0.2026,0.2037,10016.54,2038.8
